RestaurantID,Cuisine
HQSifWLNBh_LgMqronwAYA,american
tS57VDB7MA81rzOsQkTrmw,american
rZIMlQ76I0mXL8uNii_wVg,american
qcMpRNrnS6gggYv28dgm_A,american
8ERDirrcagy6XNfVmeJt-g,american
hFZ5qw8gvWiBUbmbahSalg,american
MHtbBc2np3sR7jiV9GphNg,american
DRitJoNGTkHXZvH_YpLIAw,american
mZkjzTyiu1CzKn-jNBtMcg,american
WYEy-F2vSrEEuPyKgKIRkA,american
SaXPPpupqhlaFUDVVAh0OA,american
a96TjWxSBze36UX3nYmFTg,american
GYILQtRtBkkGKWFjjpeCAQ,american
beSULYnLPVj2HAOCWmvpjw,american
P3NfoMjBy_o2BTNNZ-5okg,american
c3Ww3pgeHjBi3ctkeUWrjQ,american
zuD-iB7hV_dnf_JzBk_DCQ,american
3GIPU7bVND8mlepHGIgFmA,american
anayUOcPkiAvijszwOf_Rw,american
EHINHIbLklEUShuANKjGgw,american
S0QgzOvaw5COMRnKWlVGnA,american
QhE50zhSMnQaudpHW1jp7g,american
DiMjV0XcRGybywKE0JTfZQ,american
1q_njVUL27NVIhU0roB1BA,american
Ea2kgAIGHoVQA8t9wL-RKw,american
6awY1cqM1DIQ0h8EJvs2fQ,american
YV0VaJgV2zotzI7XNUaMCQ,american
__EvomQ2tE1NtkWn32WEXg,american
PzkHteT9bFm4YATo1ALeyg,american
FG3toTBOTyfVTePW5RuWSw,american
0c2L2SZVIesxaYodGMkGgA,american
Ps0cOZevNA1M9M5_z7W3oQ,american
JI_teX5hC2rvHRbAo9JRTw,american
RKfsthB00W-NGoM_abs-Lg,american
kxn7eNaa0MLT9-MAfORCtA,american
yuFcS4ESknZalvZG7Zhs2g,american
ZKiCh3OMhHxf0rSfwdhXaA,american
TL-z5M9VAwEmPRPRCK7Tkw,american
GrpKBtmPU7Ejl_TZ7XJ7Qg,american
rVqKNX74JsYcNL3X0QDrkA,american
iXu4yeTPxmusfT5gbeKeDA,american
ZOa13veZkzGjA-x3kMfOmA,american
_owMBYfzT9dO7FXGXXzXqA,american
XO3yD87rTPz9o6Dy9qRaJg,american
4zoIErCXzY-DlrM0GYf7Sw,american
id-F-1b2k3U7ZC2_SK2whQ,american
Ljn-mMBlxyh3UgJtL1zLkw,american
pV-f6jq8mqNWymbPyPNmzg,american
L9GlASdPU4rZEc3FWCsE8Q,american
RbXkUNt4O2_5vQT0mucjfw,american
YSflX6shqcP3zYno0Zz75Q,american
LAq0KHNgGpOHVp_uGpEgWg,american
s3jou_L_LVYGkNHiuhjlew,american
PldbjkxtHmWC2QVyV5dAbQ,american
Ly-0vKFgGSn9PsHsPEk5gw,american
B_HFzZkFsZgmzcea6R4exw,american
51sNqQbyaFBQ7UdecrZ1gw,american
c7QVJ979-HO-RPnqIFGO7w,american
RQi2YmAkk8g9WdNStAhfbQ,american
o6mE4IK7U2wruJmBF3zWnA,american
92m23CB9r9XrPFK7_7-SmQ,american
LTUhCA5oSIEMGQe3a2VWtQ,american
jNRT5vY1Hvp5WDTaHy4Mhw,american
w3rPFqs3rE0-7BWfFP23iw,american
gosjtZsjmPTIBY4eB4qD2Q,american
or0Op4EDk95L0vhLwSATcQ,american
MulJEe-IjptlsWI4H_oxNA,american
79rtvHazo3rDt9rEO-_XeA,american
5mJgmAgKpTbCDdpVs7OFxQ,american
YKKBezfMxcwAYczzXl0rUg,american
R3jVHrYAbt--Pw9oR6rJCQ,american
vlepW-Y_RDQaDMLtEwHWmg,american
jXcc0Vh67iaJ4_XhIbsV4A,american
mZE91iNgAJhm7r1eWGqaEQ,american
